"","Neuroticism_1","Neuroticism_2","Neuroticism_3","Neuroticism_4","Neuroticism_5","Neuroticism_6","Neuroticism_7","Neuroticism_8","Neuroticism_9","Neuroticism_10","Extraversion_1","Extraversion_2","Extraversion_3","Extraversion_4","Extraversion_5","Extraversion_6","Extraversion_7","Extraversion_8","Extraversion_9","Extraversion_10","Openness_1","Openness_2","Openness_3","Openness_4","Openness_5","Openness_6","Openness_7","Openness_8","Openness_9","Openness_10","Agreeableness_1","Agreeableness_2","Agreeableness_3","Agreeableness_4","Agreeableness_5","Agreeableness_6","Agreeableness_7","Agreeableness_8","Agreeableness_9","Agreeableness_10","Conscientiousness_1","Conscientiousness_2","Conscientiousness_3","Conscientiousness_4","Conscientiousness_5","Conscientiousness_6","Conscientiousness_7","Conscientiousness_8","Conscientiousness_9","Conscientiousness_10"
"1",5,4,5,6,6,5,5,5,4,6,5,6,6,6,4,5,5,3,6,3,5,4,5,4,7,5,5,5,5,4,6,5,6,7,5,5,3,5,3,4,6,7,6,7,6,7,5,5,4,4
"2",6,5,5,6,6,3,3,5,4,3,6,7,6,6,6,4,3,2,4,3,6,6,7,5,7,4,4,5,5,4,6,6,7,7,6,4,3,6,4,3,5,5,5,4,5,7,5,4,5,4
"3",5,5,5,5,5,3,4,5,5,4,4,4,3,3,4,7,7,6,6,5,6,6,6,7,6,5,4,5,4,3,6,7,6,6,6,6,3,6,5,4,7,5,5,5,6,4,5,4,4,3
"4",4,4,4,4,6,4,5,6,6,6,6,6,5,4,4,4,5,5,5,4,5,6,4,5,5,5,4,6,5,3,5,7,6,7,5,4,3,7,5,3,6,6,6,5,4,5,5,5,5,4
"5",5,5,5,5,7,2,5,6,4,5,5,6,5,5,5,3,5,3,6,5,7,5,7,4,6,4,3,5,5,4,6,6,7,5,7,3,3,7,3,5,5,6,5,5,4,6,6,4,4,5
"6",5,5,4,6,6,4,4,6,6,4,4,7,7,5,5,4,6,3,5,4,5,3,6,5,6,4,5,6,5,3,2,4,6,4,4,6,6,7,6,6,6,7,5,6,6,4,5,4,4,4
"7",6,5,6,7,6,3,3,3,3,5,5,5,5,4,4,4,6,5,6,6,7,6,7,7,7,4,2,2,3,4,7,6,7,7,6,5,3,5,4,4,6,7,5,6,6,4,5,6,4,4
"8",4,4,4,4,5,6,4,6,6,5,6,6,6,5,6,4,5,3,7,5,6,5,6,5,7,4,4,4,4,4,4,4,5,5,3,7,5,6,6,6,5,5,4,5,5,5,5,5,4,5
"9",6,5,3,5,6,6,4,6,7,5,7,7,7,7,5,3,3,3,4,4,7,6,5,6,7,4,2,4,5,3,7,6,7,7,7,2,2,4,2,2,5,6,6,5,7,4,6,6,3,4
"10",7,6,6,7,6,3,3,4,4,4,5,6,7,5,5,4,5,6,5,3,5,5,6,5,4,5,6,6,6,4,6,5,7,6,6,5,3,5,4,3,5,7,5,5,4,6,6,4,6,5
"11",6,7,6,6,6,6,4,5,3,4,7,6,7,5,6,4,4,3,6,4,6,5,5,5,5,5,4,4,3,2,4,6,6,7,5,5,4,7,5,4,5,7,4,5,5,6,6,6,4,4
"12",6,6,5,5,6,4,4,3,5,4,7,6,7,6,6,4,5,5,4,3,6,6,7,6,6,4,5,4,5,4,6,6,7,7,7,2,2,6,2,3,6,6,5,6,6,4,4,4,3,3
"13",7,7,7,7,6,4,2,3,1,1,6,6,7,5,5,5,4,3,6,5,5,5,6,6,5,5,5,5,5,3,7,6,7,7,7,3,2,3,4,2,7,6,7,5,6,5,3,3,4,3
"14",6,6,7,7,7,3,4,4,3,4,4,5,6,5,4,5,5,5,5,3,7,6,6,6,7,4,3,4,6,5,6,5,7,7,6,4,4,6,3,4,5,6,4,3,3,7,6,5,4,5
"15",6,7,5,6,6,4,3,5,2,5,6,5,5,6,5,4,5,5,6,5,4,5,4,5,4,5,4,5,6,3,6,6,7,7,7,3,4,5,3,3,5,7,6,5,6,6,6,4,4,5
"16",5,6,5,6,7,3,4,4,4,4,3,4,5,3,4,6,7,4,7,6,6,7,5,7,6,3,3,3,4,3,7,6,6,7,7,5,4,4,4,3,5,5,5,5,6,5,7,6,5,5
"17",5,6,5,5,4,4,4,5,5,5,7,5,5,5,5,3,5,3,6,4,6,5,5,6,6,5,5,5,5,3,5,6,5,5,5,5,5,5,5,3,4,6,5,6,5,6,5,5,5,4
"18",6,6,5,7,5,4,5,5,5,4,6,6,5,5,5,3,5,5,6,4,6,5,5,5,5,4,4,4,6,3,5,7,7,6,7,3,4,5,4,4,7,6,5,6,7,5,5,5,5,3
"19",3,5,3,6,5,5,5,7,4,7,5,4,5,4,4,5,7,4,7,5,7,5,7,6,5,3,4,6,5,4,5,4,7,5,5,6,5,7,5,4,6,5,6,6,4,4,5,4,4,4
"20",4,4,5,6,6,4,5,6,4,5,5,6,5,5,6,5,5,5,5,4,6,6,6,7,6,4,3,3,4,3,4,6,5,4,6,5,5,7,5,6,5,5,5,4,3,5,6,6,5,5
"21",5,5,4,4,4,6,4,4,5,4,7,6,7,5,5,4,4,5,5,4,6,6,7,5,4,5,5,4,5,4,6,6,7,7,7,4,3,2,3,3,5,6,6,6,4,6,6,4,5,4
"22",6,4,6,4,5,6,4,6,6,4,6,5,5,5,6,4,4,3,5,5,6,6,4,7,6,5,5,4,2,3,6,4,6,6,5,3,4,6,5,4,6,6,5,6,5,5,6,5,5,5
"23",5,4,4,4,5,5,5,5,4,5,3,3,5,4,3,6,6,4,5,4,4,7,7,6,7,4,3,3,4,4,5,5,7,5,5,5,4,6,6,4,6,5,4,6,5,7,6,6,5,4
"24",6,6,4,6,6,4,5,5,5,5,5,5,5,3,3,5,6,5,6,4,7,6,6,6,7,3,2,3,4,4,4,4,5,7,5,6,5,5,6,3,7,6,4,5,6,5,6,4,3,4
"25",4,6,6,5,5,4,3,5,6,4,6,7,7,5,5,4,4,3,5,2,5,6,5,5,5,5,6,4,4,4,6,6,7,6,5,5,3,6,4,5,6,5,6,7,6,6,5,4,3,5
"26",6,5,6,6,6,4,4,4,6,5,6,5,5,5,6,4,5,4,6,6,6,5,6,7,6,4,3,5,5,3,6,6,7,5,5,3,4,5,4,5,7,6,3,5,5,7,6,4,5,5
"27",4,4,4,5,6,6,5,6,4,6,5,6,7,5,5,5,5,2,4,5,6,6,6,5,6,3,4,4,5,3,5,5,7,6,6,5,4,6,4,4,7,5,5,6,5,5,4,5,5,4
"28",5,5,6,6,6,4,2,5,4,3,5,4,4,4,3,6,6,5,6,5,7,6,5,5,5,5,4,3,5,3,5,5,6,6,5,5,4,6,6,4,5,4,4,5,5,6,6,5,6,5
"29",5,4,5,4,5,5,4,6,5,5,4,5,5,4,7,6,6,5,6,5,6,6,6,6,5,2,3,5,4,2,5,5,7,7,6,6,4,7,6,4,6,7,5,7,5,6,5,5,4,4
"30",7,6,5,6,7,5,6,5,5,5,5,5,5,5,6,4,6,2,6,3,5,4,5,4,6,7,5,5,5,4,5,5,5,7,7,5,4,5,4,4,5,5,4,3,5,5,6,5,5,6
"31",5,6,4,4,5,5,6,4,5,4,6,7,5,4,4,4,4,6,5,4,5,5,5,5,7,5,5,6,5,3,7,6,7,6,6,3,4,5,4,5,4,5,5,4,6,6,6,6,5,5
"32",6,5,4,5,5,4,6,7,6,6,5,5,5,5,6,5,6,4,5,5,5,6,7,5,5,4,3,4,5,4,7,6,7,6,7,4,4,5,2,4,6,6,7,7,6,7,4,5,4,3
"33",6,5,6,7,5,3,4,5,3,4,6,5,6,4,3,5,6,4,6,4,6,6,6,6,6,4,3,4,5,2,7,6,7,7,7,5,4,5,2,4,7,7,3,6,5,5,7,4,5,5
"34",4,4,3,5,6,3,5,5,5,5,6,6,6,6,5,4,5,4,5,4,5,6,6,6,5,5,5,4,4,4,6,7,6,6,7,5,4,5,5,3,6,6,6,6,5,4,4,4,4,1
"35",5,6,6,5,7,4,4,4,4,4,6,6,6,4,4,4,6,4,6,3,6,5,5,6,7,3,5,5,3,3,5,6,7,6,6,5,3,6,5,3,6,7,5,6,6,6,6,4,4,4
"36",4,5,4,5,6,5,4,6,4,4,6,6,6,7,5,3,4,3,5,3,7,7,6,7,7,4,3,4,4,4,5,7,7,5,7,4,5,4,4,3,5,6,5,5,4,6,4,5,6,4
"37",5,3,3,5,4,5,6,5,6,5,5,5,6,5,5,4,6,4,7,5,6,5,5,6,5,5,4,5,7,3,6,6,6,6,5,6,5,5,3,5,7,6,4,5,5,5,5,4,4,4
"38",5,5,6,6,5,3,5,4,5,5,6,5,6,5,6,4,4,3,6,4,6,6,5,5,6,4,4,3,5,5,5,4,7,7,6,3,5,6,3,4,7,7,6,7,6,3,4,5,2,2
"39",6,6,6,4,6,5,5,4,4,4,6,5,4,4,4,6,5,4,6,5,4,5,5,4,6,5,5,5,5,4,5,7,7,7,6,5,5,5,4,3,7,6,4,6,6,7,5,5,5,5
"40",5,5,5,6,6,3,5,5,5,4,7,7,6,6,7,4,3,3,5,3,7,7,7,5,7,5,4,3,4,5,6,6,7,5,6,4,4,5,3,3,6,7,6,6,7,3,5,4,3,4
"41",5,4,4,6,5,5,4,6,4,5,6,7,7,6,5,3,3,4,6,3,6,6,5,5,7,5,5,4,5,4,5,5,6,7,6,4,2,5,5,4,5,4,6,4,6,5,7,6,4,5
"42",5,5,5,7,6,4,4,5,4,6,5,5,4,4,4,5,6,4,7,5,5,5,4,6,6,5,5,6,5,5,7,5,5,7,5,6,4,6,5,3,6,7,6,6,5,5,4,3,4,2
"43",7,6,6,4,4,3,3,5,6,5,5,4,5,4,4,5,5,4,6,4,5,5,4,5,6,5,6,4,4,3,5,5,6,7,7,2,3,4,2,4,6,5,4,5,6,5,6,4,5,5
"44",4,6,6,4,6,5,5,5,4,4,5,6,6,5,5,4,5,3,5,4,6,7,7,4,7,4,3,3,3,3,7,6,6,6,4,4,3,6,4,5,5,6,5,6,5,5,5,5,5,4
"45",4,4,3,5,4,4,6,7,5,6,5,5,4,5,5,4,5,4,7,3,5,4,4,3,6,6,5,7,4,2,6,5,7,7,6,5,5,4,4,3,7,6,6,7,5,5,6,4,3,4
"46",5,4,4,5,5,4,5,6,7,6,6,6,6,6,5,3,4,4,5,3,5,5,3,4,6,6,7,5,6,4,6,4,5,6,7,5,3,6,4,2,5,6,5,6,6,5,6,5,5,6
"47",5,6,5,6,6,4,5,3,4,6,7,6,6,5,6,3,5,4,5,3,5,4,7,4,6,3,4,5,6,3,5,2,4,6,4,6,4,6,5,6,5,5,5,6,7,6,5,6,5,4
"48",5,5,5,7,5,5,4,5,4,4,6,7,7,6,6,4,4,2,6,4,5,4,5,5,4,7,6,5,5,5,5,4,7,5,5,5,3,4,5,5,6,7,4,6,5,6,5,4,4,3
"49",6,5,6,6,5,4,4,5,3,4,7,6,6,5,5,4,4,2,4,4,7,5,5,5,7,4,4,5,3,2,6,5,5,7,6,4,2,6,2,4,5,5,5,5,5,6,7,6,5,5
"50",4,4,3,6,5,6,5,7,4,5,6,6,6,4,6,6,5,5,6,4,7,5,6,6,6,4,4,4,4,3,5,4,7,6,5,5,5,7,5,4,5,6,4,6,5,5,6,5,5,4
"51",5,5,6,6,6,4,4,5,4,5,4,6,6,4,5,4,6,5,6,6,7,7,7,5,6,4,4,5,5,3,4,3,5,7,4,6,2,7,6,6,5,7,6,7,5,5,6,5,5,4
"52",4,4,5,5,5,4,3,6,3,6,5,5,5,4,4,6,6,4,5,4,6,7,6,7,7,5,4,5,6,2,4,5,6,7,4,5,3,6,5,4,6,6,7,7,6,3,5,3,3,4
"53",6,6,5,5,7,4,4,5,4,4,5,5,6,5,6,6,5,4,5,4,7,6,6,6,7,2,3,3,4,2,7,7,7,7,7,4,3,5,2,3,6,6,5,5,5,5,4,3,3,4
"54",5,6,5,6,5,5,3,5,5,5,3,4,4,3,3,7,7,4,7,6,6,4,7,5,7,5,3,4,5,5,6,6,7,6,7,4,3,4,4,3,4,5,3,5,4,6,7,7,6,6
"55",4,5,5,5,5,4,5,5,5,4,5,6,5,4,3,4,4,5,6,6,5,6,6,5,5,4,4,5,5,3,5,6,3,5,6,6,2,5,5,6,7,5,6,7,6,4,5,5,3,2
"56",4,6,5,5,7,4,4,5,3,5,4,5,5,4,3,7,5,4,5,5,6,5,7,5,7,3,4,4,4,3,6,6,7,6,7,3,3,6,4,4,5,7,5,5,6,6,6,5,4,4
"57",5,4,4,4,6,4,5,6,5,5,7,7,6,7,6,2,3,4,4,4,5,4,6,5,5,6,5,4,5,4,7,7,7,7,7,5,3,6,5,3,6,7,5,6,4,6,5,6,4,3
"58",4,6,5,5,5,3,5,5,1,4,6,5,5,5,5,5,6,5,7,6,7,6,7,7,7,4,1,2,5,4,5,5,7,6,5,5,5,6,4,4,7,7,6,7,6,5,5,4,2,4
"59",5,5,6,6,7,4,5,4,3,5,4,5,5,3,4,6,6,5,6,5,7,7,5,5,5,5,4,4,5,4,5,5,4,6,6,5,4,5,6,4,4,5,3,4,4,7,6,6,6,6
"60",6,6,7,6,6,4,4,4,4,4,6,6,6,5,6,4,4,3,5,4,7,6,5,6,7,2,3,6,4,2,7,5,7,7,6,5,4,5,5,3,6,7,6,6,6,5,5,4,4,5
"61",4,5,5,7,6,5,5,5,6,6,4,6,6,4,5,5,5,4,6,5,5,5,6,6,7,6,5,6,4,5,6,6,7,6,7,5,2,5,4,4,5,4,3,5,4,7,6,5,6,5
"62",4,4,4,5,4,6,6,6,7,5,4,4,5,4,5,6,7,5,6,5,7,5,7,6,7,5,4,4,7,5,6,6,7,7,7,5,4,7,4,5,6,7,6,6,7,5,6,5,4,4
"63",4,3,3,3,4,5,4,6,3,6,4,5,4,4,4,6,6,4,6,6,7,7,7,5,5,3,4,4,3,2,6,5,7,7,6,4,3,5,4,3,5,6,5,7,5,5,6,6,5,4
"64",5,6,6,6,4,4,3,5,4,3,6,5,7,4,4,5,5,6,6,4,6,4,6,4,6,3,4,3,5,5,4,3,5,7,4,5,6,6,5,6,5,5,5,5,5,5,6,6,5,4
"65",4,5,5,5,5,4,4,5,6,4,6,6,7,4,6,4,5,5,5,5,6,4,6,6,6,5,5,6,5,4,4,6,7,5,6,5,5,4,5,5,6,7,5,5,5,6,5,4,4,4
"66",5,4,3,6,6,4,5,6,6,6,4,4,5,3,3,7,7,5,7,5,7,7,6,5,7,3,3,5,3,3,6,4,6,7,5,4,3,6,4,5,6,6,6,6,4,7,4,4,6,3
"67",5,5,6,7,7,4,3,5,3,5,6,5,6,5,6,3,5,6,6,4,7,7,7,7,6,3,3,3,2,3,5,6,7,7,6,5,5,6,4,6,6,6,5,5,5,5,6,4,5,5
"68",6,5,5,6,5,4,5,5,5,4,7,7,7,7,6,2,4,4,4,3,5,5,5,4,7,3,4,4,5,4,7,5,6,7,7,3,3,3,4,3,5,6,6,6,6,7,6,5,5,4
"69",5,5,5,6,6,4,3,5,4,5,6,6,6,5,6,4,6,4,5,4,6,6,6,6,7,4,3,3,6,4,6,5,6,7,7,4,2,4,3,5,7,7,6,5,7,5,5,5,3,4
"70",6,5,5,5,6,3,5,6,5,6,4,7,5,6,6,3,4,3,5,4,7,6,5,6,7,6,4,2,3,5,4,4,5,6,6,6,6,5,6,5,7,6,4,7,5,6,5,4,5,4
"71",5,4,5,6,4,5,3,6,4,5,5,6,7,5,5,4,4,4,5,5,7,7,7,6,7,4,3,3,3,4,4,5,6,7,5,5,4,6,5,5,7,7,6,6,6,5,4,4,3,3
"72",5,4,4,6,6,5,3,5,3,6,6,5,7,5,4,3,5,4,5,3,7,6,7,6,7,4,3,2,4,5,5,5,5,6,4,4,5,7,5,4,5,7,7,4,5,6,5,6,2,5
"73",7,7,4,7,7,3,4,6,5,4,5,6,6,5,5,5,5,5,5,4,5,5,5,5,6,3,4,5,5,3,5,5,6,5,7,5,4,7,5,6,4,7,6,5,5,6,5,6,5,4
"74",4,3,4,5,6,5,6,7,4,7,6,5,5,5,6,5,4,6,4,5,5,6,6,5,6,3,4,5,4,2,5,6,6,6,5,5,5,5,4,4,6,7,6,7,6,5,5,4,3,3
"75",6,5,6,5,5,4,4,4,5,5,5,7,5,6,4,6,5,4,6,6,6,6,5,5,6,4,4,5,5,3,5,3,6,5,4,6,6,6,5,4,6,6,6,6,7,5,5,3,3,4
"76",5,4,4,6,6,5,3,6,5,6,5,5,7,5,6,3,5,3,6,6,6,5,5,6,7,5,5,4,6,5,6,7,5,4,7,4,3,5,3,4,4,5,5,6,5,7,6,4,4,6
"77",5,4,5,5,4,6,5,6,5,4,5,6,7,5,3,5,4,5,6,4,7,7,7,6,6,3,3,3,5,3,4,4,5,5,4,6,6,6,7,5,6,5,4,5,5,6,5,5,4,4
"78",6,7,6,6,4,6,3,3,4,5,5,5,7,6,5,5,5,5,5,4,6,4,6,7,5,6,4,5,5,6,5,5,6,7,5,7,5,5,6,7,6,5,5,5,4,7,6,6,4,5
"79",6,6,5,4,6,4,4,5,4,6,5,6,7,6,7,4,4,3,5,4,5,5,5,4,6,4,6,6,7,2,5,6,5,7,7,5,3,5,5,3,7,7,7,7,7,4,2,2,2,2
"80",5,5,5,5,6,4,5,4,4,5,6,4,5,4,4,5,6,3,6,6,5,6,5,5,6,2,3,4,4,3,6,5,6,6,6,4,3,4,4,3,5,7,5,7,6,6,5,5,5,4
"81",6,6,6,4,6,3,6,6,6,4,6,7,7,6,7,4,5,4,4,4,5,6,5,6,4,5,5,5,6,3,6,5,7,7,6,4,3,6,2,3,5,7,5,5,4,4,6,5,5,4
"82",5,5,4,6,6,4,6,5,4,6,3,5,4,4,4,6,6,6,6,6,7,5,4,6,7,4,4,5,5,2,4,4,7,6,6,6,6,6,6,5,6,6,6,6,6,4,4,4,4,4
"83",4,3,4,4,5,6,5,7,5,6,5,5,6,4,5,5,6,6,7,4,5,5,6,5,7,4,4,4,6,6,6,5,5,7,6,6,3,6,6,4,7,7,5,6,6,5,5,4,3,4
"84",6,5,4,6,6,4,3,6,5,5,5,4,4,4,4,6,6,6,5,5,4,5,5,3,6,4,4,5,4,5,6,6,7,7,7,4,3,6,3,4,4,7,6,6,5,7,7,5,5,3
"85",5,4,3,5,5,6,4,7,4,6,6,5,6,4,5,5,6,5,6,4,7,6,7,6,6,4,4,4,3,2,5,6,7,7,7,5,5,6,4,3,7,6,6,7,7,5,4,3,3,4
"86",4,4,5,5,6,4,4,7,4,5,6,6,5,5,6,4,5,4,5,4,6,5,6,4,7,4,4,4,3,5,4,6,6,7,5,3,4,5,4,4,6,5,6,7,6,4,3,4,2,2
"87",4,4,3,5,6,6,7,7,6,7,4,4,4,3,4,7,6,5,7,6,4,6,4,6,5,5,7,5,6,6,5,5,7,7,7,4,3,6,3,5,7,7,6,7,7,3,5,3,3,4
"88",5,5,5,5,6,3,4,3,5,5,6,7,6,5,5,4,5,1,6,3,5,5,5,4,4,5,5,6,5,4,6,6,7,4,6,5,5,4,3,3,6,5,3,5,4,6,5,5,5,6
"89",7,7,6,5,6,4,3,4,5,3,6,6,7,6,5,3,5,3,6,4,7,7,6,7,7,3,2,3,4,2,5,5,4,6,7,6,5,6,5,6,7,7,5,6,6,6,6,3,3,3
"90",6,5,5,5,7,4,3,4,3,5,6,6,6,6,7,5,4,3,5,4,6,7,5,7,7,4,4,4,4,3,5,4,6,6,5,6,4,6,5,3,7,7,7,7,7,5,3,4,3,2
"91",4,5,3,5,5,4,5,6,6,5,6,5,5,5,4,4,6,4,6,4,5,6,5,5,6,6,5,4,4,5,5,5,7,6,6,4,4,5,4,5,6,6,5,6,5,5,5,4,4,3
"92",4,6,5,6,6,4,5,5,4,4,6,6,6,5,4,3,3,2,4,2,6,6,5,4,7,5,5,5,4,3,6,7,6,6,6,5,3,6,3,3,6,6,7,7,7,5,5,4,2,3
"93",5,5,4,5,5,5,3,6,5,5,4,4,6,3,3,5,7,4,6,5,5,7,6,7,6,5,5,4,5,4,7,7,7,6,6,5,2,7,3,4,6,5,6,5,7,5,5,5,3,4
"94",4,5,5,4,6,4,5,6,4,6,7,6,7,6,5,4,3,4,4,4,6,5,6,6,5,5,4,5,5,4,6,4,7,7,7,4,3,5,4,4,4,7,5,7,6,6,5,4,3,4
"95",3,4,4,4,6,6,6,6,7,6,5,5,5,5,7,5,5,6,6,4,5,5,5,5,7,3,4,5,4,3,5,3,7,6,6,6,4,5,3,5,5,4,6,6,4,5,6,5,5,4
"96",5,6,5,6,7,4,5,4,5,5,6,5,5,5,5,4,6,5,5,4,6,7,5,5,6,4,4,4,4,3,5,5,7,7,6,4,4,5,4,2,7,5,5,6,5,7,4,4,4,5
"97",6,6,5,5,6,4,5,5,4,5,4,4,3,3,5,5,7,5,6,6,4,5,3,4,4,7,6,6,7,7,6,6,4,7,6,3,3,6,3,4,6,6,6,6,7,4,6,5,5,5
"98",5,6,4,4,4,6,5,5,4,6,4,5,6,5,7,4,5,5,6,6,5,5,7,6,6,6,4,4,5,4,7,5,6,7,7,4,3,4,4,2,6,6,6,6,7,6,5,4,4,5
"99",5,5,3,6,5,6,5,5,5,6,6,6,6,6,7,4,4,4,4,4,5,7,6,4,6,6,6,6,5,5,6,4,7,5,7,5,2,5,5,4,6,6,7,6,5,4,3,4,3,3
"100",6,6,7,5,7,5,5,4,5,5,5,5,4,5,3,5,5,3,6,5,4,5,6,4,7,5,6,5,6,3,6,7,7,6,6,5,4,5,3,3,5,5,5,5,4,7,6,5,5,4
